County;Sum - Jan2020;Sum - Feb2020;ChinaJan2020;ChinaFeb2020;ItalyJan2020;ItalyFeb2020;ChinaSum;ItalySum
Broward, Florida;86552;83662;9731.9715312214;1132.48997640515;1870.12325472159;1882.29733297951;10864.4615076265;3752.4205877011
Clark, Nevada;45917;30571;5162.94177834242;413.824090610813;992.125537099678;687.811811413984;5576.76586895323;1679.93734851366
Clinton, New York;4113;4525;462.468792262612;61.2526253643625;88.8693149398039;101.807217514909;523.721417626975;190.676532454713
Cook, Illinois;100440;64848;11293.5486250563;877.814419807333;2170.20033857377;1459.00429644349;12171.3630448637;3629.20463501726
Dallas, Texas;61224;47975;6884.07229211918;649.413193780175;1322.86285871008;1079.38149398403;7533.48548589935;2402.24435269411
District of Columbia,District of Columbia;69102;51550;7769.88049670096;697.80615194097;1493.08227594708;1159.81482052896;8467.68664864192;2652.89709647604
Erie, New York;4931;5128;554.445323279101;69.4151299156798;106.543786036512;115.374013572697;623.86045319478;221.917799609208
Essex, New Jersey;120803;114583;13583.1795554827;1551.05183914359;2610.18231283081;2577.98373580349;15134.2313946263;5188.1660486343
Fulton, Georgia;82799;69821;9309.9814078658;945.131393495062;1789.03243561897;1570.89099096319;10255.1128013609;3359.92342658216
Guam;143846;99829;16174.1516877724;1351.33443922629;3108.0708672091;2246.03595962339;17525.4861269986;5354.10682683249
Harris, Texas;73486;62492;8262.82073139079;845.922445142485;1587.80706969765;1405.99704683794;9108.74317653328;2993.80411653559
Hillsborough, Florida;10628;13860;1195.02025873257;187.615776254158;229.638482659916;311.833819835721;1382.63603498672;541.472302495637
Honolulu, Hawaii;182424;161015;20511.8908241465;2179.57822608681;3941.62312389467;3622.64953108575;22691.4690502334;7564.27265498042
King, Washington;52788;32684;5935.52215073153;442.426697769906;1140.58677292545;735.351844697741;6377.94884850143;1875.93861762319
Los Angeles, California;347351;250438;39056.4058986654;3390.05193171276;7505.18974316942;5634.56263867375;42446.4578303781;13139.7523818432
Maricopa, Arizona;6667;6475;749.64246000847;87.6487843611596;144.053421518034;145.679941084869;837.291244369629;289.733362602903
Miami-Dade, Florida;396439;407651;44575.8972856304;5518.16441600171;8565.83086443494;9171.67160821438;50094.0617016321;17737.5024726493
Multnomah, Oregon;3838;3060;431.547586847534;41.4216648872816;82.9274083975121;68.8464277559383;472.969251734815;151.77383615345
New York City, New York;409746;387375;46072.1463054793;5243.69850840219;8853.35432028322;8715.48527841719;51315.8448138815;17568.8395987004
Niagara, New York;10567;10904;1188.16137316777;147.601906513372;228.320459754171;245.32727067018;1335.76327968114;473.647730424352
Orange, Florida;124916;120512;14045.6483477453;1631.30969898565;2699.05162777061;2711.37931428877;15676.958046731;5410.43094205939
Philadelphia, Pennsylvania;15542;13946;1747.55408931328;188.779914548376;335.81495083745;313.768719439319;1936.33400386166;649.583670276769
Puerto Rico;7994;8700;898.851331229594;117.767478601095;172.725821451202;195.739843619825;1016.61880983069;368.465665071026
Ramsey, Minnesota;12312;10096;1384.37047661981;136.664421144443;266.024557631623;227.148213929396;1521.03489776425;493.172771561019
San Diego, California;11000;10760;1236.84821660314;145.652651695147;237.676261691671;242.087438775783;1382.50086829829;479.763700467454
San Francisco, California;178404;125207;20059.8790213516;1694.86352795486;3854.76325371281;2817.01133334568;21754.7425493064;6671.77458705848
Suffolk, Massachusetts;70464;46034;7923.02479406582;623.138863209517;1522.51091853108;1035.71125990747;8546.16365727533;2558.22217843855
Wayne, Michigan;38401;24876;4317.83712416158;336.733769848372;829.727829565623;559.680959757099;4654.57089400995;1389.40878932272
Whatcom, Washington;20351;19787;2288.28164146278;267.846563112628;439.722691062472;445.184400655801;2556.12820457541;884.907091718273
Total Result;2693045;2288364;302807.991407456;30976.4205059213;58188.4425606769;51485.5185638203;333784.411913377;109673.961124497
